product name,product unit,NCV in MJ/product,GCV in MJ/product,source
"electricity, high voltage",kilowatt hour,3.6,3.6,
"electricity, low voltage",kilowatt hour,3.6,3.6,
"electricity, medium voltage",kilowatt hour,3.6,3.6,
"heat, district or industrial, other than natural gas",megajoule,1,1,
"heat, district or industrial, natural gas",megajoule,1,1,
"heat, central or small-scale, other than natural gas",megajoule,1,1,
"heat, deep geothermal",megajoule,1,1,
"biodiesel, from palm oil",kilogram,37.8,40.5,https://www.engineeringtoolbox.com/fuels-higher-calorific-values-d_169.html
"ethanol, from sugarbeet",kilogram,26.7,29.7,https://www.engineeringtoolbox.com/fuels-higher-calorific-values-d_169.html
"kerosene",kilogram,43,46.2,https://www.engineeringtoolbox.com/fuels-higher-calorific-values-d_169.html
"heavy fuel oil",kilogram,39,41.8,https://www.engineeringtoolbox.com/fuels-higher-calorific-values-d_169.html
"ethanol, from poplar",kilogram,26.7,29.7,https://www.engineeringtoolbox.com/fuels-higher-calorific-values-d_169.html
"diesel",kilogram,42.78,45.76,https://h2tools.org/hyarc/calculator-tools/lower-and-higher-heating-values-fuels
"diesel, low-sulfur",kilogram,42.6,45.56,https://h2tools.org/hyarc/calculator-tools/lower-and-higher-heating-values-fuels
"ethanol, from eucalyptus",kilogram,26.7,29.7,https://www.engineeringtoolbox.com/fuels-higher-calorific-values-d_169.html
"diesel, synthetic",kilogram,42.6,45.6,https://www.engineeringtoolbox.com/fuels-higher-calorific-values-d_169.html
"ethanol, from switchgrass",kilogram,26.7,29.7,https://www.engineeringtoolbox.com/fuels-higher-calorific-values-d_169.html
"ethanol, from willow",kilogram,26.7,29.7,https://www.engineeringtoolbox.com/fuels-higher-calorific-values-d_169.html
"ethanol, from corn",kilogram,26.7,29.7,https://www.engineeringtoolbox.com/fuels-higher-calorific-values-d_169.html
"kerosene, synthetic",kilogram,43,46.2,https://www.engineeringtoolbox.com/fuels-higher-calorific-values-d_169.html
"ethanol, from miscanthus",kilogram,26.7,29.7,https://www.engineeringtoolbox.com/fuels-higher-calorific-values-d_169.html
"ethanol, from grain sorghum",kilogram,26.7,29.7,https://www.engineeringtoolbox.com/fuels-higher-calorific-values-d_169.html
"ethanol, from forage sorghum",kilogram,26.7,29.7,https://www.engineeringtoolbox.com/fuels-higher-calorific-values-d_169.html
