short name,region,capacity factor
PV commercial,
PV commercial,
PV commercial,
PV commercial,
PV commercial,
PV commercial,
PV commercial,
PV commercial,
PV commercial,
PV commercial,
PV commercial,
PV commercial,
"wind, onshore, medium",
"wind, onshore, medium",
"wind, onshore, medium",
"wind, onshore, medium",
"wind, onshore, medium",
"wind, onshore, medium",
"wind, onshore, medium",
"wind, onshore, medium",
"wind, onshore, medium",
"wind, onshore, medium",
"wind, onshore, medium",
"wind, onshore, medium",
