name,categories,characterization factor
"Aluminium, 24% in bauxite, 11% in crude ore","('natural resource', 'in ground')",0.95
Aluminium,"('natural resource', 'in ground')",0.95
Antimony,"('natural resource', 'in ground')",8.41
Arsenic,"('natural resource', 'in ground')",1.0
Barium,"('natural resource', 'in ground')",0.067
Beryllium,"('natural resource', 'in ground')",247.76
Bismuth,"('natural resource', 'in ground')",23.52
Boron,"('natural resource', 'in ground')",0.36
Cadmium,"('natural resource', 'in ground')",18.01
"Cadmium, 0.30% in sulfide, Cd 0.18%, Pb, Zn, Ag, In","('natural resource', 'in ground')",18.01
Calcium,"('natural resource', 'in ground')",nan
Caesium,"('natural resource', 'in ground')",54367.38
"Chromium, 25.5% in chromite, 11.6% in crude ore","('natural resource', 'in ground')",1.0
Chromium,"('natural resource', 'in ground')",1.0
Cobalt,"('natural resource', 'in ground')",44.93
"Cobalt, Co 5.0E-2%, in mixed ore","('natural resource', 'in ground')",44.93
"Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore","('natural resource', 'in ground')",3.92
"Copper, Cu 0.38%, in mixed ore","('natural resource', 'in ground')",3.92
"Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore","('natural resource', 'in ground')",3.92
"Copper, Cu 6.8E-1%, in mixed ore","('natural resource', 'in ground')",3.92
"Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore","('natural resource', 'in ground')",3.92
"Copper, Cu 0.2%, in mixed ore","('natural resource', 'in ground')",3.92
Copper,"('natural resource', 'in ground')",3.92
"Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore","('natural resource', 'in ground')",3.92
"Copper, 1.25% in sulfide, Cu 0.24% and Zn 0,1% in crude ore","('natural resource', 'in ground')",3.92
"Copper, 1.13% in sulfide, Cu 0.76% and Ni 0.76% in crude ore","('natural resource', 'in ground')",3.92
"Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore","('natural resource', 'in ground')",3.92
"Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore","('natural resource', 'in ground')",3.92
"Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore","('natural resource', 'in ground')",3.92
Gallium,"('natural resource', 'in ground')",122.39
"Gallium, 0.014% in bauxite","('natural resource', 'in ground')",122.39
Germanium,"('natural resource', 'in ground')",922.37
"Gold, Au 4.9E-5%, in ore","('natural resource', 'in ground')",25164.0
"Gold, Au 1.3E-4%, Ag 4.6E-5%, in ore","('natural resource', 'in ground')",25164.0
"Gold, Au 9.7E-4%, in mixed ore","('natural resource', 'in ground')",25164.0
"Gold, Au 9.7E-5%, Ag 7.6E-5%, in ore","('natural resource', 'in ground')",25164.0
"Gold, Au 4.3E-4%, in ore","('natural resource', 'in ground')",25164.0
"Gold, Au 1.4E-4%, in ore","('natural resource', 'in ground')",25164.0
"Gold, Au 6.7E-4%, in ore","('natural resource', 'in ground')",25164.0
"Gold, Au 1.0E-7%, in mixed ore","('natural resource', 'in ground')",25164.0
"Gold, Au 1.1E-4%, Ag 4.2E-3%, in ore","('natural resource', 'in ground')",25164.0
Gold,"('natural resource', 'in ground')",25164.0
"Gold, Au 5.4E-4%, Ag 1.5E-5%, in ore","('natural resource', 'in ground')",25164.0
"Gold, Au 2.1E-4%, Ag 2.1E-4%, in ore","('natural resource', 'in ground')",25164.0
"Gold, Au 6.8E-4%, Ag 1.5E-4%, in ore","('natural resource', 'in ground')",25164.0
"Gold, Au 7.1E-4%, in ore","('natural resource', 'in ground')",25164.0
"Gold, Au 1.8E-4%, in mixed ore","('natural resource', 'in ground')",25164.0
Hafnium,"('natural resource', 'in ground')",252.0
"Indium, 0.005% in sulfide, In 0.003%, Pb, Zn, Ag, Cd","('natural resource', 'in ground')",664.0
Indium,"('natural resource', 'in ground')",664.0
"Lead, Pb 3.6E-1%, in mixed ore","('natural resource', 'in ground')",1.51
"Lead, Pb 0.014%, in mixed ore","('natural resource', 'in ground')",1.51
"Lead, 5.0% in sulfide, Pb 3.0%, Zn, Ag, Cd, In","('natural resource', 'in ground')",1.51
Lead,"('natural resource', 'in ground')",1.51
Lithium,"('natural resource', 'in ground')",2.96
"Lithium, 0.15% in brine","('natural resource', 'in ground')",2.96
Magnesium,"('natural resource', 'in ground')",0.12
Manganese,"('natural resource', 'in ground')",0.48
"Manganese, 35.7% in sedimentary deposit, 14.2% in crude ore","('natural resource', 'in ground')",0.48
Mercury,"('natural resource', 'in ground')",37.5
"Molybdenum, 0.025% in sulfide, Mo 8.2E-3% and Cu 0.39% in crude ore","('natural resource', 'in ground')",47.94
"Molybdenum, 0.014% in sulfide, Mo 8.2E-3% and Cu 0.81% in crude ore","('natural resource', 'in ground')",47.94
"Molybdenum, 0.016% in sulfide, Mo 8.2E-3% and Cu 0.27% in crude ore","('natural resource', 'in ground')",47.94
