source name,impact category,short name,unit,currency,year,cost,technology year
NEEDS,health impacts,lignite power plant,kWh,euro,2000,0.0072,2009
NEEDS,biodiversity,lignite power plant,kWh,euro,2000,0.0007,2009
NEEDS,crop yield losses,lignite power plant,kWh,euro,2000,0.0002,2009
NEEDS,material damage,lignite power plant,kWh,euro,2000,0.0001,2009
NEEDS,land use,lignite power plant,kWh,euro,2000,0.0001,2009
NEEDS,"climate change, damage costs low",lignite power plant,kWh,euro,2000,0.0068,2009
NEEDS,"climate change, damage costs high",lignite power plant,kWh,euro,2000,0.094,2009
NEEDS,"climate change, abatement costs low",lignite power plant,kWh,euro,2000,0.0216,2009
NEEDS,"climate change, abatement costs high",lignite power plant,kWh,euro,2000,0.0216,2009
NEEDS,health impacts,lignite power plant,kWh,euro,2000,0.0067,2025
NEEDS,biodiversity,lignite power plant,kWh,euro,2000,0.0006,2025
NEEDS,crop yield losses,lignite power plant,kWh,euro,2000,0.0003,2025
NEEDS,material damage,lignite power plant,kWh,euro,2000,0.0001,2025
NEEDS,land use,lignite power plant,kWh,euro,2000,0.0001,2025
NEEDS,"climate change, damage costs low",lignite power plant,kWh,euro,2000,0.0059,2025
NEEDS,"climate change, damage costs high",lignite power plant,kWh,euro,2000,0.0721,2025
NEEDS,"climate change, abatement costs low",lignite power plant,kWh,euro,2000,0.0259,2025
NEEDS,"climate change, abatement costs high",lignite power plant,kWh,euro,2000,0.0412,2025
NEEDS,health impacts,lignite power plant,kWh,euro,2000,0.006,2050
NEEDS,biodiversity,lignite power plant,kWh,euro,2000,0.0006,2050
NEEDS,crop yield losses,lignite power plant,kWh,euro,2000,0.0002,2050
NEEDS,material damage,lignite power plant,kWh,euro,2000,0.0001,2050
NEEDS,land use,lignite power plant,kWh,euro,2000,0.0001,2050
NEEDS,"climate change, damage costs low",lignite power plant,kWh,euro,2000,0.0038,2050
NEEDS,"climate change, damage costs high",lignite power plant,kWh,euro,2000,0.0398,2050
NEEDS,"climate change, abatement costs low",lignite power plant,kWh,euro,2000,0.0563,2050
NEEDS,"climate change, abatement costs high",lignite power plant,kWh,euro,2000,0.1389,2050
NEEDS,health impacts,lignite w CCS (post),kWh,euro,2000,0.0095,2025
NEEDS,biodiversity,lignite w CCS (post),kWh,euro,2000,0.0016,2025
NEEDS,crop yield losses,lignite w CCS (post),kWh,euro,2000,0.0003,2025
NEEDS,material damage,lignite w CCS (post),kWh,euro,2000,0.0001,2025
NEEDS,land use,lignite w CCS (post),kWh,euro,2000,0.0002,2025
NEEDS,"climate change, damage costs low",lignite w CCS (post),kWh,euro,2000,0.0012,2025
NEEDS,"climate change, damage costs high",lignite w CCS (post),kWh,euro,2000,0.014,2025
NEEDS,"climate change, abatement costs low",lignite w CCS (post),kWh,euro,2000,0.004,2025
NEEDS,"climate change, abatement costs high",lignite w CCS (post),kWh,euro,2000,0.0064,2025
NEEDS,health impacts,lignite w CCS (post),kWh,euro,2000,0.0083,2050
NEEDS,biodiversity,lignite w CCS (post),kWh,euro,2000,0.0014,2050
NEEDS,crop yield losses,lignite w CCS (post),kWh,euro,2000,0.0002,2050
NEEDS,material damage,lignite w CCS (post),kWh,euro,2000,0.0001,2050
NEEDS,land use,lignite w CCS (post),kWh,euro,2000,0.0001,2050
NEEDS,"climate change, damage costs low",lignite w CCS (post),kWh,euro,2000,0.0007,2050
NEEDS,"climate change, damage costs high",lignite w CCS (post),kWh,euro,2000,0.0074,2050
NEEDS,"climate change, abatement costs low",lignite w CCS (post),kWh,euro,2000,0.0078,2050
NEEDS,"climate change, abatement costs high",lignite w CCS (post),kWh,euro,2000,0.0193,2050
NEEDS,health impacts,lignite w CCS (oxy),kWh,euro,2000,0.0047,2025
NEEDS,biodiversity,lignite w CCS (oxy),kWh,euro,2000,0.0003,2025
