source name,short name,index,unit,currency,year,cost
Sovacool et al,hard coal power plant,0,MJ,euro,2022,0.04631702303122752
Sovacool et al,natural gas power plant,1,MJ,euro,2022,0.007149577815411163
Sovacool et al,hard coal power plant,2,MJ,euro,2022,0.01718426752221498
Sovacool et al,hard coal power plant,3,MJ,euro,2022,0.026910709302113662
Sovacool et al,hard coal power plant,4,MJ,euro,2022,0.03832918826351319
Sovacool et al,hard coal power plant,5,MJ,euro,2022,0.023258304009935567
Sovacool et al,oil power plant,6,MJ,euro,2022,0.021337852896987034
Sovacool et al,oil power plant,7,MJ,euro,2022,0.015070884253577624
Sovacool et al,oil power plant,8,MJ,euro,2022,0.015685162496402963
Sovacool et al,oil power plant,9,MJ,euro,2022,0.013609478614509398
Sovacool et al,oil power plant,10,MJ,euro,2022,0.014840252711145006
Sovacool et al,oil power plant,11,MJ,euro,2022,0.01706895175099867
Sovacool et al,oil power plant,12,MJ,euro,2022,0.02322060462319177
Sovacool et al,natural gas power plant,13,MJ,euro,2022,0.009112163537073345
Sovacool et al,natural gas power plant,14,MJ,euro,2022,0.016224041965740715
Sovacool et al,natural gas power plant,15,MJ,euro,2022,0.006457683188113308
Sovacool et al,hard coal power plant,16,MJ,euro,2022,0.3292287444335473
Sovacool et al,"nuclear, pressure water reactor",17,MJ,euro,2022,0.0837813430106184
Sovacool et al,"wind, onshore, medium",18,MJ,euro,2022,0.04956138790217868
Sovacool et al,PV commercial,19,MJ,euro,2022,0.1652031479332723
Sovacool et al,hard coal power plant,20,MJ,euro,2022,4.2134608713651384e-05
Sovacool et al,hard coal power plant,21,MJ,euro,2022,0.0015678509663448175
Sovacool et al,oil power plant,22,MJ,euro,2022,0.0018805341152198093
Sovacool et al,natural gas power plant,23,MJ,euro,2022,0.0006275839087349126
Sovacool et al,natural gas power plant,24,MJ,euro,2022,0.00031268314887499183
Sovacool et al,hard coal power plant,25,MJ,euro,2022,0.017031252364254876
Sovacool et al,hard coal power plant,26,MJ,euro,2022,0.0005588379682021132
Sovacool et al,natural gas power plant,27,MJ,euro,2022,0.00018849693371896675
Sovacool et al,oil power plant,28,MJ,euro,2022,0.007932394493091105
Sovacool et al,wood CHP modern,29,MJ,euro,2022,-0.0017119956803652039
