First Author§Year of Publication§Title§Target§Country§Central Estimate ($2018)§Unit§DOI or URL
Epstein, P.R.§2011§Full cost accounting for the life cycle of coal§Coal§USA§20.886 §US¢/kWh§10.1111/j.1749-6632.2010.05890.x
AlRafea, K.§2016§Cost-analysis of health impacts associated with emissions from combined cycle power plant§Gas§CAN§3.224 §US¢/kWh§10.1016/j.jclepro.2016.09.001
Bernow, S.§1991§Full-Cost Dispatch: Incorporating Environmental Externalities in Electric System Operation§Coal§USA§7.749 §US¢/kWh§10.1016/1040-6190(91)90168-S
Bernow, S.§1991§Full-Cost Dispatch: Incorporating Environmental Externalities in Electric System Operation§Coal§USA§12.135 §US¢/kWh§10.1016/1040-6190(91)90168-S
Bernow, S.§1991§Full-Cost Dispatch: Incorporating Environmental Externalities in Electric System Operation§Coal§USA§17.284 §US¢/kWh§10.1016/1040-6190(91)90168-S
Bernow, S.§1991§Full-Cost Dispatch: Incorporating Environmental Externalities in Electric System Operation§Coal§USA§10.488 §US¢/kWh§10.1016/1040-6190(91)90168-S
Bernow, S.§1991§Full-Cost Dispatch: Incorporating Environmental Externalities in Electric System Operation§Oil§USA§9.622 §US¢/kWh§10.1016/1040-6190(91)90168-S
Bernow, S.§1991§Full-Cost Dispatch: Incorporating Environmental Externalities in Electric System Operation§Oil§USA§6.796 §US¢/kWh§10.1016/1040-6190(91)90168-S
Bernow, S.§1991§Full-Cost Dispatch: Incorporating Environmental Externalities in Electric System Operation§Oil§USA§7.073 §US¢/kWh§10.1016/1040-6190(91)90168-S
Bernow, S.§1991§Full-Cost Dispatch: Incorporating Environmental Externalities in Electric System Operation§Oil§USA§6.137 §US¢/kWh§10.1016/1040-6190(91)90168-S
Bernow, S.§1991§Full-Cost Dispatch: Incorporating Environmental Externalities in Electric System Operation§Oil§USA§6.692 §US¢/kWh§10.1016/1040-6190(91)90168-S
Bernow, S.§1991§Full-Cost Dispatch: Incorporating Environmental Externalities in Electric System Operation§Oil§USA§7.697 §US¢/kWh§10.1016/1040-6190(91)90168-S
Bernow, S.§1991§Full-Cost Dispatch: Incorporating Environmental Externalities in Electric System Operation§Oil§USA§10.471 §US¢/kWh§10.1016/1040-6190(91)90168-S
Bernow, S.§1991§Full-Cost Dispatch: Incorporating Environmental Externalities in Electric System Operation§Gas§USA§4.109 §US¢/kWh§10.1016/1040-6190(91)90168-S
Bernow, S.§1991§Full-Cost Dispatch: Incorporating Environmental Externalities in Electric System Operation§Gas§USA§7.316 §US¢/kWh§10.1016/1040-6190(91)90168-S
