name,categories,amount,code,ecoinvent name
Acetaldehyde,air::urban air close to ground,1.11111111111111e-09,5ad58fcc-e9ba-4155-a3c9-e4ffb3065a6f,"petroleum and gas production, onshore"
Acetic acid,air::urban air close to ground,1.66666666666667e-07,b9b68c0c-053e-41de-ab72-8dfe1c3f5755,"petroleum and gas production, onshore"
Benzene,air::urban air close to ground,4.44444444444444e-07,1bb6a502-3ff9-4a79-835c-5588b855f1f5,"petroleum and gas production, onshore"
Benzo(a)pyrene,air::urban air close to ground,1.11111111111111e-11,2cbb504a-ce2f-40e9-9d38-e130e95a1242,"petroleum and gas production, onshore"
Butane,air::urban air close to ground,7.77777777777778e-07,892f10da-7bf2-42b3-b171-221989661a05,"petroleum and gas production, onshore"
"Carbon dioxide, fossil",air::urban air close to ground,0.061638635836213,f9749677-9c9f-4678-ab55-c607dfdc2cb9,"petroleum and gas production, onshore"
"Carbon monoxide, fossil",air::urban air close to ground,1.55555555555556e-05,6edcc2df-88a3-48e1-83d8-ffc38d31c35b,"petroleum and gas production, onshore"
Dinitrogen monoxide,air::urban air close to ground,1.11111111111111e-07,6dc1b46f-ee89-4495-95c4-b8a637bcd6cb,"petroleum and gas production, onshore"
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",air::urban air close to ground,3.3333333333333304e-17,237a5f15-8119-472a-8988-88b7ecb42405,"petroleum and gas production, onshore"
Formaldehyde,air::urban air close to ground,1.11111111111111e-07,20664d0e-24e3-4daa-8c5c-2ade6e0c2723,"petroleum and gas production, onshore"
Mercury II,air::urban air close to ground,3.3333333333333296e-11,a850e6de-a007-432f-be7f-ce6e2cf1f2ae,"petroleum and gas production, onshore"
"Methane, fossil",air::urban air close to ground,2.22222222222222e-06,5f7aad3d-566c-4d0d-ad59-e765f971aa0f,"petroleum and gas production, onshore"
Nitrogen oxides,air::urban air close to ground,2.55555555555556e-05,d068f3e2-b033-417b-a359-ca4f25da9731,"petroleum and gas production, onshore"
"PAH, polycyclic aromatic hydrocarbons",air::urban air close to ground,1.11111111111111e-08,9d1efa17-070a-4602-a65f-daf5056b0647,"petroleum and gas production, onshore"
"Particulate Matter, < 2.5 um",air::urban air close to ground,1.11111111111111e-07,230d8a0a-517c-43fe-8357-1818dd12997a,"petroleum and gas production, onshore"
Pentane,air::urban air close to ground,1.33333333333333e-06,0b9698ec-8b52-4986-8f9f-ad30915aa00c,"petroleum and gas production, onshore"
Propane,air::urban air close to ground,2.22222222222222e-07,98c66fdb-091d-46e9-a533-686f821e8f6a,"petroleum and gas production, onshore"
Propionic acid,air::urban air close to ground,2.22222222222222e-08,f1c0cd31-8d5e-4bc9-91f6-79e76329234e,"petroleum and gas production, onshore"
