name,categories,amount,code,ecoinvent name
Acetaldehyde,air::urban air close to ground,7.14557e-07,5ad58fcc-e9ba-4155-a3c9-e4ffb3065a6f,"diesel production, petroleum refinery operation"
Acetone,air::urban air close to ground,3.24689e-07,1f130425-11f9-4ec2-8d2f-d282acaacf5c,"diesel production, petroleum refinery operation"
Acrolein,air::urban air close to ground,3.95343e-07,7ed6dc0d-9c2e-4046-a44b-e8a708c2081e,"diesel production, petroleum refinery operation"
Ammonia,air::urban air close to ground,3.72093e-07,9990b51b-7023-4700-bca0-1a32ef921f74,"diesel production, petroleum refinery operation"
Benzaldehyde,air::urban air close to ground,9.4996e-08,fe65f7e4-ee5b-4a6f-9d60-6c2f829dca3f,"diesel production, petroleum refinery operation"
Benzene,air::urban air close to ground,2.18674e-07,1bb6a502-3ff9-4a79-835c-5588b855f1f5,"diesel production, petroleum refinery operation"
Butane,air::urban air close to ground,1.21475e-08,892f10da-7bf2-42b3-b171-221989661a05,"diesel production, petroleum refinery operation"
Cadmium II,air::urban air close to ground,2.32558e-10,36e53653-1338-42c7-816c-f6667809e0b1,"diesel production, petroleum refinery operation"
"Carbon dioxide, fossil",air::urban air close to ground,0.073255814,f9749677-9c9f-4678-ab55-c607dfdc2cb9,"diesel production, petroleum refinery operation"
"Carbon monoxide, fossil",air::urban air close to ground,2.10694e-05,6edcc2df-88a3-48e1-83d8-ffc38d31c35b,"diesel production, petroleum refinery operation"
Chromium III,air::urban air close to ground,1.16279e-09,7705f0e1-5b14-44f4-b330-1245b5c7fc08,"diesel production, petroleum refinery operation"
Chromium VI,air::urban air close to ground,2.32558e-12,7a59e8d5-cd11-4ee7-b1ca-30979d2b0b3a,"diesel production, petroleum refinery operation"
Copper ion,air::urban air close to ground,3.95349e-08,88cde01c-df69-40bb-9b14-6eac71bea5b8,"diesel production, petroleum refinery operation"
Cyclohexane (for all cycloalkanes),air::urban air close to ground,7.17896e-08,2a042136-80fd-4c1c-8996-65a7985497d3,"diesel production, petroleum refinery operation"
Dinitrogen monoxide,air::urban air close to ground,1.16279e-06,6dc1b46f-ee89-4495-95c4-b8a637bcd6cb,"diesel production, petroleum refinery operation"
Ethane,air::urban air close to ground,3.64624e-08,9ea11aea-7cb7-4b38-b936-a42c2a4bac97,"diesel production, petroleum refinery operation"
Ethylene oxide,air::urban air close to ground,1.21141e-06,4446c2d0-1bc1-422f-9b97-0867d5602dbb,"diesel production, petroleum refinery operation"
Formaldehyde,air::urban air close to ground,1.32527e-06,20664d0e-24e3-4daa-8c5c-2ade6e0c2723,"diesel production, petroleum refinery operation"
Heptane,air::urban air close to ground,2.20878e-08,f4bb66f1-c78c-409f-8368-85c1205a3573,"diesel production, petroleum refinery operation"
