fuel name,fuel unit,name,amount,unit,categories,type
"diesel, passenger car",MJ,Acetaldehyde,7.14557e-07,kilogram,air::urban air close to ground,biosphere
"diesel, passenger car",MJ,Acetone,3.24689e-07,kilogram,air::urban air close to ground,biosphere
"diesel, passenger car",MJ,Acrolein,3.95343e-07,kilogram,air::urban air close to ground,biosphere
"diesel, passenger car",MJ,Ammonia,3.72093e-07,kilogram,air::urban air close to ground,biosphere
"diesel, passenger car",MJ,Benzaldehyde,9.4996e-08,kilogram,air::urban air close to ground,biosphere
"diesel, passenger car",MJ,Benzene,2.18674e-07,kilogram,air::urban air close to ground,biosphere
"diesel, passenger car",MJ,Butane,1.21475e-08,kilogram,air::urban air close to ground,biosphere
"diesel, passenger car",MJ,Cadmium II,2.32558e-10,kilogram,air::urban air close to ground,biosphere
"diesel, passenger car",MJ,"Carbon dioxide, fossil",0.073255814,kilogram,air::urban air close to ground,biosphere
"diesel, passenger car",MJ,"Carbon monoxide, fossil",2.10694e-05,kilogram,air::urban air close to ground,biosphere
"diesel, passenger car",MJ,Chromium III,1.16279e-09,kilogram,air::urban air close to ground,biosphere
"diesel, passenger car",MJ,Chromium VI,2.32558e-12,kilogram,air::urban air close to ground,biosphere
"diesel, passenger car",MJ,Copper ion,3.95349e-08,kilogram,air::urban air close to ground,biosphere
"diesel, passenger car",MJ,Cyclohexane (for all cycloalkanes),7.17896e-08,kilogram,air::urban air close to ground,biosphere
"diesel, passenger car",MJ,Dinitrogen monoxide,1.16279e-06,kilogram,air::urban air close to ground,biosphere
"diesel, passenger car",MJ,Ethane,3.64624e-08,kilogram,air::urban air close to ground,biosphere
"diesel, passenger car",MJ,Ethylene oxide,1.21141e-06,kilogram,air::urban air close to ground,biosphere
"diesel, passenger car",MJ,Formaldehyde,1.32527e-06,kilogram,air::urban air close to ground,biosphere
"diesel, passenger car",MJ,Heptane,2.20878e-08,kilogram,air::urban air close to ground,biosphere
"diesel, passenger car",MJ,Lead II,1.9186e-15,kilogram,air::urban air close to ground,biosphere
"diesel, passenger car",MJ,Mercury II,4.65116e-13,kilogram,air::urban air close to ground,biosphere
"diesel, passenger car",MJ,"Methane, fossil",6.64471e-07,kilogram,air::urban air close to ground,biosphere
"diesel, passenger car",MJ,Methyl ethyl ketone,1.32527e-07,kilogram,air::urban air close to ground,biosphere
