source name,impact category,estimate,LCIA method,valuation approach,MVC,currency,reference year,impact unit
Alberici et al. (2014),climate change,central,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",damage cost,4.3e-02,Euro,2012,kg CO2 eq
Alberici et al. (2014),ozone depletion,central,"ReCiPe Midpoint (H) V1.13, ozone depletion, ODPinf",damage cost,1.07e+02,Euro,2012,kg CFC-11 eq
Alberici et al. (2014),human toxicity,central,"ReCiPe Midpoint (H) V1.13, human toxicity, HTPinf",damage cost,4e-02,Euro,2012,kg 1-4 DB eq
Alberici et al. (2014),particulate matter formation,central,"ReCiPe Midpoint (H) V1.13, particulate matter formation, PMFP",damage cost,1.5e+01,Euro,2012,kg PM10 eq
Alberici et al. (2014),ionizing radiation,central,"ReCiPe Midpoint (H) V1.13, ionising radiation, IRP_HE",damage cost,1.0e-03,Euro,2012,kBq U235 eq
Alberici et al. (2014),photochemical oxidant formation,central,"ReCiPe Midpoint (H) V1.13, photochemical oxidant formation, POFP",damage cost,2.30e-03,Euro,2012,kg NMVOC eq
Alberici et al. (2014),acidification,central,"ReCiPe Midpoint (H) V1.13, terrestrial acidification, TAP100",damage cost,2.0e-01,Euro,2012,kg SO2 eq
Alberici et al. (2014),eutrophication: freshwater,central,"ReCiPe Midpoint (H) V1.13, freshwater eutrophication, FEP",damage cost,2.0e-01,Euro,2012,kg P eq
Alberici et al. (2014),eutrophication: marine,central,"ReCiPe Midpoint (H) V1.13, marine eutrophication, MEP",damage cost,1.8e+00,Euro,2012,kg N eq
Alberici et al. (2014),ecotoxicity: freshwater,central,,damage cost,2.95e-12,Euro,2012,species*yr*m3
Alberici et al. (2014),ecotoxicity: marine,central,,damage cost,5.68e-17,Euro,2012,species*yr*m3
Alberici et al. (2014),ecotoxicity: terrestrial,central,,damage cost,1.04e-09,Euro,2012,species*yr*m2
Alberici et al. (2014),water use,central,"ReCiPe Midpoint (H) V1.13, water depletion, WDP",market price,2e-01,Euro,2012,m3
Alberici et al. (2014),fossil resources,central,"ReCiPe Midpoint (H) V1.13, fossil depletion, FDP",market price,5e-02,Euro,2012,kg oil eq
Alberici et al. (2014),metal/mineral resources,central,"ReCiPe Midpoint (H) V1.13, metal depletion, MDP",market price,7e-02,Euro,2012,kg Fe eq
Alberici et al. (2014),land use: natural land transformation,central,"ReCiPe Midpoint (H) V1.13, natural land transformation, NLTP",damage cost,3.6,Euro,2012,m2
Alberici et al. (2014),land use: agricultural land occupation,central,"ReCiPe Midpoint (H) V1.13, agricultural land occupation, ALOP",damage cost,9e-02,Euro,2012,m2*yr
Alberici et al. (2014),land use: urban land occupation,central,"ReCiPe Midpoint (H) V1.13, urban land occupation, ULOP",damage cost,1e-01,Euro,2012,m2*yr
van Essen et al. (2019),climate change,central,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",abatement cost,1.05e-01,Euro,2019,kg CO2 eq
van Essen et al. (2019),photochemical oxidant formation,central,"ReCiPe Midpoint (H) V1.13, photochemical oxidant formation, POFP",damage cost,1.18e+00,Euro,2019,kg NMVOC eq
Weidema et al. (2009),acidification,central,"EDIP 2003, acidification, acidification",budget constraint,7.7e-03,Euro,2003,m2 UES
Weidema et al. (2009),"ecotoxicity: aquatic",central,"IMPACT 2002+ (Endpoint), ecosystem quality, aquatic ecotoxicity",budget constraint,1.94e+03,Euro,2003,points
