short name,sector,source,cost,estimate,currency,unit,year
PV commercial,electricity production,LAZARD LCOE v16,0.004386119160121785,min,euro,MJ,2022
PV commercial,electricity production,LAZARD LCOE v16,0.01754447664048714,max,euro,MJ,2022
PV residential,electricity production,LAZARD LCOE v16,0.021382330905593702,min,euro,MJ,2022
PV residential,electricity production,LAZARD LCOE v16,0.051536900131430974,max,euro,MJ,2022
geothermal,electricity production,LAZARD LCOE v16,0.011148052865309536,min,euro,MJ,2022
geothermal,electricity production,LAZARD LCOE v16,0.018641006430517585,max,euro,MJ,2022
"wind, onshore, medium",electricity production,LAZARD LCOE v16,0.004386119160121785,min,euro,MJ,2022
"wind, onshore, medium",electricity production,LAZARD LCOE v16,0.013706622375380577,max,euro,MJ,2022
"wind, offshore",electricity production,LAZARD LCOE v16,0.013158357480365354,min,euro,MJ,2022
"wind, offshore",electricity production,LAZARD LCOE v16,0.02558569510071041,max,euro,MJ,2022
hard coal power plant,electricity production,LAZARD LCOE v16,0.012427337620345057,min,euro,MJ,2022
hard coal power plant,electricity production,LAZARD LCOE v16,0.030337324190842344,max,euro,MJ,2022
"nuclear, pressure water reactor",electricity production,LAZARD LCOE v16,0.025768450065715487,min,euro,MJ,2022
"nuclear, pressure water reactor",electricity production,LAZARD LCOE v16,0.040388847266121436,max,euro,MJ,2022
NGCC,electricity production,LAZARD LCOE v16,0.0071274436351979,min,euro,MJ,2022
NGCC,electricity production,LAZARD LCOE v16,0.018458251465512512,max,euro,MJ,2022
"wind, onshore, medium",electricity production,IRENA 2022,0.006279166666666667,central,euro,MJ,2022
"wind, onshore, medium",electricity production,IRENA 2022,0.003425,min,euro,MJ,2022
"wind, onshore, medium",electricity production,IRENA 2022,0.011036111111111111,max,euro,MJ,2022
PV commercial,electricity production,IRENA 2022,0.009323611111111112,central,euro,MJ,2022
PV commercial,electricity production,IRENA 2022,0.006088888888888889,min,euro,MJ,2022
PV commercial,electricity production,IRENA 2022,0.02264305555555556,max,euro,MJ,2022
"wind, offshore",electricity production,IRENA 2022,0.0154125,central,euro,MJ,2022
"wind, offshore",electricity production,IRENA 2022,0.010845833333333334,min,euro,MJ,2022
"wind, offshore",electricity production,IRENA 2022,0.041480555555555555,max,euro,MJ,2022
"CSP, tower",electricity production,IRENA 2022,0.02245277777777778,central,euro,MJ,2022
"hydro, reservoir, non-alpine region",electricity production,IRENA 2022,0.011606944444444446,central,euro,MJ,2022
"hydro, reservoir, non-alpine region",electricity production,IRENA 2022,0.004186111111111112,min,euro,MJ,2022
"hydro, reservoir, non-alpine region",electricity production,IRENA 2022,0.023784722222222224,max,euro,MJ,2022
geothermal,electricity production,IRENA 2022,0.010655555555555557,central,euro,MJ,2022
geothermal,electricity production,IRENA 2022,0.0085625,min,euro,MJ,2022
geothermal,electricity production,IRENA 2022,0.03234722222222222,max,euro,MJ,2022
BIGCC,electricity production,IRENA 2022,0.011606944444444446,central,euro,MJ,2022
BIGCC,electricity production,IRENA 2022,0.009133333333333334,min,euro,MJ,2022
BIGCC,electricity production,IRENA 2022,0.023784722222222224,max,euro,MJ,2022
wood CHP modern,electricity production,IRENA 2022,0.011606944444444446,central,euro,MJ,2022
wood CHP modern,electricity production,IRENA 2022,0.009133333333333334,min,euro,MJ,2022
wood CHP modern,electricity production,IRENA 2022,0.023784722222222224,max,euro,MJ,2022
"biodiesel, rapeseed oil",liquids,Advanced biofuels,0.024090992012817558,central,euro,MJ,2022
"biodiesel, rapeseed oil",liquids,Advanced biofuels,0.015751802469919172,min,euro,MJ,2022
"biodiesel, rapeseed oil",liquids,Advanced biofuels,0.028106157348287152,max,euro,MJ,2022
"biodiesel, palm oil",liquids,Advanced biofuels,0.024090992012817558,central,euro,MJ,2022
"biodiesel, palm oil",liquids,Advanced biofuels,0.015751802469919172,min,euro,MJ,2022
"biodiesel, palm oil",liquids,Advanced biofuels,0.028106157348287152,max,euro,MJ,2022
"diesel, bio FT",liquids,Advanced biofuels,0.02316441539693996,min,euro,MJ,2022
"diesel, bio FT",liquids,Advanced biofuels,0.04447567756212473,max,euro,MJ,2022
"diesel, bio FT",liquids,Dimitriou et al,0.02092787656135194,min,euro,MJ,2022
"diesel, bio FT",liquids,Dimitriou et al,0.027119625275532692,max,euro,MJ,2022
"kerosene, bio FT",liquids,Dimitriou et al,0.02092787656135194,min,euro,MJ,2022
"kerosene, bio FT",liquids,Dimitriou et al,0.027119625275532692,max,euro,MJ,2022
"diesel, electrolysis FT, VRE",liquids,Ueckert et al,0.05840698933044686,min,euro,MJ,2022
"diesel, electrolysis FT, VRE",liquids,Ueckert et al,0.06804113190041748,max,euro,MJ,2022
brine-water heat pump,residential heating,Hansen et al,0.03407278393986615,central,euro,MJ,2022
air-water heat pump,residential heating,Hansen et al,0.02466220551837931,central,euro,MJ,2022
