scenario,chemistry,year,value
CONT,NMC111,2010,0.36
CONT,NMC111,2011,0.36
CONT,NMC111,2012,0.36
CONT,NMC111,2013,0.36
CONT,NMC111,2014,0.36
CONT,NMC111,2015,0.36
CONT,NMC111,2016,0.336
CONT,NMC111,2017,0.312
CONT,NMC111,2018,0.288
CONT,NMC111,2019,0.264
CONT,NMC111,2020,0.24
CONT,NMC111,2021,0.205
CONT,NMC111,2022,0.17
CONT,NMC111,2023,0.135
CONT,NMC111,2024,0.1
CONT,NMC111,2025,0.065
CONT,NMC111,2026,0.052
CONT,NMC111,2027,0.039
CONT,NMC111,2028,0.026
CONT,NMC111,2029,0.013
CONT,NMC111,2030,0
CONT,NMC111,2031,0
CONT,NMC111,2032,0
CONT,NMC111,2033,0
CONT,NMC111,2034,0
CONT,NMC111,2035,0
CONT,NMC111,2036,0
CONT,NMC111,2037,0
CONT,NMC111,2038,0
CONT,NMC111,2039,0
CONT,NMC111,2040,0
CONT,NMC111,2041,0
CONT,NMC111,2042,0
CONT,NMC111,2043,0
CONT,NMC111,2044,0
CONT,NMC111,2045,0
CONT,NMC111,2046,0
CONT,NMC111,2047,0
CONT,NMC111,2048,0
CONT,NMC111,2049,0
CONT,NMC111,2050,0
TC,NMC111,2010,0.36
TC,NMC111,2011,0.36
TC,NMC111,2012,0.36
TC,NMC111,2013,0.36
TC,NMC111,2014,0.36
TC,NMC111,2015,0.36
TC,NMC111,2016,0.336
TC,NMC111,2017,0.312
TC,NMC111,2018,0.288
TC,NMC111,2019,0.264
TC,NMC111,2020,0.24
TC,NMC111,2021,0.199
TC,NMC111,2022,0.158
TC,NMC111,2023,0.117
TC,NMC111,2024,0.076
TC,NMC111,2025,0.035
TC,NMC111,2026,0.028
TC,NMC111,2027,0.021
TC,NMC111,2028,0.014
TC,NMC111,2029,0.007
TC,NMC111,2030,0
TC,NMC111,2031,0
TC,NMC111,2032,0
TC,NMC111,2033,0
TC,NMC111,2034,0
TC,NMC111,2035,0
TC,NMC111,2036,0
TC,NMC111,2037,0
TC,NMC111,2038,0
TC,NMC111,2039,0
TC,NMC111,2040,0
TC,NMC111,2041,0
TC,NMC111,2042,0
TC,NMC111,2043,0
TC,NMC111,2044,0
TC,NMC111,2045,0
