short name,reference product,ecoinvent name,sector,direct process
BIGCC,"electricity, high voltage","electricity production, at biomass-fired IGCC power plant",electricity production,technosphere_if_RER
BIGCC w CCS,"electricity, high voltage","electricity production, at biomass-fired IGCC power plant, pre, pipeline 200km, storage 1000m",electricity production,technosphere_if_RER
hard coal IGCC,"electricity, high voltage","electricity production, at hard coal-fired IGCC power plant",electricity production,technosphere_if_RER
hard coal w CCS (post),"electricity, high voltage","electricity production, at hard coal-fired power plant, post, pipeline 200km, storage 1000m",electricity production,technosphere_if_RER
hard coal IGCC w CCS (pre),"electricity, high voltage","electricity production, at hard coal-fired IGCC power plant, pre, pipeline 200km, storage 1000m",electricity production,technosphere_if_RER
hard coal w CCS (oxy),"electricity, high voltage","electricity production, at hard coal-fired power plant, oxy, pipeline 200km, storage 1000m",electricity production,technosphere_if_RER
lignite IGCC,"electricity, high voltage","electricity production, at lignite-fired IGCC power plant",electricity production,technosphere_if_RER
lignite w CCS (post),"electricity, high voltage","electricity production, at lignite-fired power plant, post, pipeline 200km, storage 1000m",electricity production,technosphere_if_RER
lignite IGCC w CCS (pre),"electricity, high voltage","electricity production, at lignite-fired IGCC power plant, pre, pipeline 200km, storage 1000m",electricity production,technosphere_if_RER
lignite w CCS (oxy),"electricity, high voltage","electricity production, at lignite-fired power plant, oxy, pipeline 200km, storage 1000m",electricity production,technosphere_if_RER
natural gas power plant,"electricity, high voltage","electricity production, natural gas, conventional power plant",electricity production,
NGCC,"electricity, high voltage","electricity production, natural gas, combined cycle power plant",electricity production,technosphere_if_RER
NGCC w CCS (post),"electricity, high voltage","electricity production, at natural gas-fired combined cycle power plant, post, pipeline 200km, storage 1000m",electricity production,
"natural gas subcritical","electricity, high voltage","electricity production, natural gas, subcritical, steam cycle",electricity production,
hydrogen turbine,"electricity, high voltage","electricity production, from hydrogen-fired one gigawatt gas turbine",electricity production,technosphere_if_RER
wood power plant,"electricity, high voltage","electricity production, at wood burning power plant",electricity production,
wood power plant w CCS,"electricity, high voltage","electricity production, at wood burning power plant, post, pipeline 200km, storage 1000m",electricity production,
geothermal,"electricity, high voltage","electricity production, deep geothermal",electricity production,
hard coal power plant,"electricity, high voltage","electricity production, hard coal",electricity production,
"hydro, pumped storage","electricity, high voltage","electricity production, hydro, pumped storage",electricity production,
"hydro, reservoir, alpine region","electricity, high voltage","electricity production, hydro, reservoir, alpine region",electricity production,
"hydro, reservoir, non-alpine region","electricity, high voltage","electricity production, hydro, reservoir, non-alpine region",electricity production,
"hydro, reservoir, tropical region","electricity, high voltage","electricity production, hydro, reservoir, tropical region",electricity production,
"hydro, run-of-river","electricity, high voltage","electricity production, hydro, run-of-river",electricity production,
lignite power plant,"electricity, high voltage","electricity production, lignite",electricity production,
"nuclear, pressure water reactor","electricity, high voltage","electricity production, nuclear, pressure water reactor",electricity production,
"nuclear, boiling water reactor","electricity, high voltage","electricity production, nuclear, boiling water reactor",electricity production,
"nuclear, pressure water reactor, heavy water moderated","electricity, high voltage","electricity production, nuclear, pressure water reactor, heavy water moderated",electricity production,
oil power plant,"electricity, high voltage","electricity production, oil",electricity production,
"PV residential","electricity, low voltage","electricity production, photovoltaic, residential",electricity production,
"PV commercial","electricity, low voltage","electricity production, photovoltaic, commercial",electricity production,
"CSP, trough","electricity, high voltage","electricity production, solar thermal parabolic trough, 50 MW",electricity production,technosphere
"CSP, tower","electricity, high voltage","electricity production, solar tower power plant, 20 MW",electricity production,technosphere
"wind, offshore","electricity, high voltage","electricity production, wind, 1-3MW turbine, offshore",electricity production,
"wind, onshore, medium","electricity, high voltage","electricity production, wind, 1-3MW turbine, onshore",electricity production,
"wind, onshore, small","electricity, high voltage","electricity production, wind, <1MW turbine, onshore",electricity production,
"wind, onshore, large","electricity, high voltage","electricity production, wind, >3MW turbine, onshore",electricity production,
hard coal CHP,"electricity, high voltage","heat and power co-generation, hard coal",electricity production,
lignite CHP,"electricity, high voltage","heat and power co-generation, lignite",electricity production,
natural gas CHP CC,"electricity, high voltage","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",electricity production,
natural gas CHP,"electricity, high voltage","heat and power co-generation, natural gas, conventional power plant, 100MW electrical",electricity production,
oil CHP,"electricity, high voltage","heat and power co-generation, oil",electricity production,
wood CHP,"electricity, high voltage","heat and power co-generation, wood chips, 6667 kW",electricity production,
wood CHP modern,"electricity, high voltage","heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014",electricity production,
biogas CHP,"electricity, high voltage","heat and power co-generation, biogas, gas engine",electricity production,
hard coal CHP,"heat, district or industrial, other than natural gas","heat and power co-generation, hard coal",district or industrial heat,
lignite CHP,"heat, district or industrial, other than natural gas","heat and power co-generation, lignite",district or industrial heat,
